fecha,afluencia
2011-02-12,4185370
2011-02-13,2625407
2011-02-14,5630669
2011-02-15,5381590
2011-02-16,5095906
2011-02-17,4652017
2011-02-18,4730886
2011-02-19,4159625
2011-02-20,2566639
2011-02-21,5523299
2011-02-22,4625800
2011-02-23,4461186
2011-02-24,4402695
2011-02-25,4931286
2011-02-26,4385095
2011-02-27,2761585
2011-02-28,6257109
2011-03-01,5363212
2011-03-02,4838676
2011-03-03,4544100
2011-03-04,4739319
2011-03-05,4198902
2011-03-06,2575731
2011-03-07,5531964
2011-03-08,4608761
2011-03-09,4444844
2011-03-10,4430654
2011-03-11,4679848
2011-03-12,4167977
2011-03-13,2558160
2011-03-14,5757585
2011-03-15,5337845
2011-03-16,5052602
2011-03-17,4616627
2011-03-18,4692903
2011-03-19,4073443
2011-03-20,2418167
2011-03-21,2642530
2011-03-22,5276433
2011-03-23,4545785
2011-03-24,4357554
2011-03-25,4648171
2011-03-26,3998168
2011-03-27,2465411
2011-03-28,5506720
2011-03-29,4732113
2011-03-30,4857022
2011-03-31,5035255
2011-04-01,5111882
2011-04-02,4309220
2011-04-03,2572966
2011-04-04,5617780
2011-04-05,4711874
2011-04-06,4508873
2011-04-07,4394885
2011-04-08,4676897
2011-04-09,4124788
2011-04-10,2505752
2011-04-11,5413134
2011-04-12,4646564
2011-04-13,4558542
2011-04-14,4712362
2011-04-15,5210873
2011-04-16,4299781
2011-04-17,2561711
2011-04-18,4784860
2011-04-19,3987429
2011-04-20,3949436
2011-04-21,2522959
2011-04-22,1719406
2011-04-23,2202025
2011-04-24,1979773
2011-04-25,5076525
2011-04-26,4455744
2011-04-27,4348407
2011-04-28,4542248
2011-04-29,4970130
2011-04-30,4292472
2011-05-01,2723130
2011-05-02,5760439
2011-05-03,4770617
2011-05-04,4477926
2011-05-05,4063993
2011-05-06,4683116
2011-05-07,4055589
2011-05-08,2569031
2011-05-09,5309914
2011-05-10,3785092
2011-05-11,4621436
2011-05-12,4476068
2011-05-13,5092967
2011-05-14,4396343
2011-05-15,2589243
2011-05-16,5846606
2011-05-17,4848067
2011-05-18,4566866
2011-05-19,4367136
2011-05-20,4674453
2011-05-21,4114060
2011-05-22,2479506
2011-05-23,5351155
2011-05-24,4541061
2011-05-25,4462867
2011-05-26,4388334
2011-05-27,4712259
2011-05-28,4160831
2011-05-29,2577728
2011-05-30,5620468
2011-05-31,5238781
2011-06-01,4971788
2011-06-02,4560238
2011-06-03,4729441
2011-06-04,4197575
2011-06-05,2591168
2011-06-06,5287563
2011-06-07,4490881
2011-06-08,4322966
2011-06-09,4252394
2011-06-10,4572306
2011-06-11,4021936
2011-06-12,2434093
2011-06-13,5213990
2011-06-14,4755966
2011-06-15,5037824
2011-06-16,4848062
2011-06-17,4760557
2011-06-18,4115408
2011-06-19,2409280
2011-06-20,5146830
2011-06-21,4435073
2011-06-22,4266374
2011-06-23,4067506
2011-06-24,4445407
2011-06-25,4065036
2011-06-26,2560651
2011-06-27,5092341
2011-06-28,4593518
2011-06-29,4554324
2011-06-30,4392731
2011-07-01,4910356
2011-07-02,4085618
2011-07-03,2449139
2011-07-04,5179064
2011-07-05,4459813
2011-07-06,4342934
2011-07-07,4116511
2011-07-08,4284600
2011-07-09,3765843
2011-07-10,2338586
2011-07-11,4983736
2011-07-12,4368997
2011-07-13,4322264
2011-07-14,4369738
2011-07-15,4993666
2011-07-16,4223591
2011-07-17,2629567
2011-07-18,5260442
2011-07-19,4438510
2011-07-20,4280779
2011-07-21,4133890
2011-07-22,4313182
2011-07-23,3922623
2011-07-24,2449808
2011-07-25,4955742
2011-07-26,4357619
2011-07-27,4342990
2011-07-28,4567670
2011-07-29,5037965
2011-07-30,4433189
2011-07-31,2752432
2011-08-01,5805584
2011-08-02,4852741
2011-08-03,4609939
2011-08-04,4483392
2011-08-05,4671994
2011-08-06,4191365
2011-08-07,2595391
2011-08-08,5535621
2011-08-09,4717430
2011-08-10,4667304
2011-08-11,4547049
2011-08-12,4898739
2011-08-13,4299657
2011-08-14,2701653
2011-08-15,6119198
2011-08-16,5306033
2011-08-17,4833265
2011-08-18,4578277
2011-08-19,4817709
2011-08-20,4295919
2011-08-21,2689727
2011-08-22,5406418
2011-08-23,4607897
2011-08-24,4444930
2011-08-25,4424021
2011-08-26,4739182
2011-08-27,4194631
2011-08-28,2731219
2011-08-29,5589885
2011-08-30,4973409
2011-08-31,5196946
2011-09-01,5053624
2011-09-02,4895285
2011-09-03,4288033
2011-09-04,2558360
2011-09-05,5708286
2011-09-06,4748825
2011-09-07,4550648
2011-09-08,4466741
2011-09-09,4745066
2011-09-10,4193211
2011-09-11,2597948
2011-09-12,5545740
2011-09-13,4702058
2011-09-14,4779541
2011-09-15,4609850
2011-09-16,2142420
2011-09-17,3479947
2011-09-18,2425877
2011-09-19,5866999
2011-09-20,4882508
2011-09-21,4598887
2011-09-22,4441942
2011-09-23,4628748
2011-09-24,4289871
2011-09-25,2663358
2011-09-26,5604403
2011-09-27,4714194
2011-09-28,4710783
2011-09-29,4794266
2011-09-30,5385692
2011-10-01,4634058
2011-10-02,2796224
2011-10-03,6123502
2011-10-04,4966420
2011-10-05,4646325
2011-10-06,4528048
2011-10-07,4711119
2011-10-08,4257584
2011-10-09,2624382
2011-10-10,5658327
2011-10-11,4778360
2011-10-12,4570279
2011-10-13,4645062
2011-10-14,5364368
2011-10-15,4809117
2011-10-16,2930312
2011-10-17,6200721
2011-10-18,4959114
2011-10-19,4650139
2011-10-20,4566335
2011-10-21,4773766
2011-10-22,4379143
2011-10-23,2696409
2011-10-24,5620668
2011-10-25,4768860
2011-10-26,4623177
2011-10-27,4563499
2011-10-28,5307527
2011-10-29,4539512
2011-10-30,2801927
2011-10-31,5864452
2011-11-01,4629316
2011-11-02,2977452
2011-11-03,4954169
2011-11-04,4830008
2011-11-05,4171247
2011-11-06,2647679
2011-11-07,5667574
2011-11-08,4842820
2011-11-09,4638688
2011-11-10,4605796
2011-11-11,4885606
2011-11-12,4356352
2011-11-13,2756924
2011-11-14,6052370
2011-11-15,5624918
2011-11-16,5370319
2011-11-17,4914803
2011-11-18,4959922
2011-11-19,4366955
2011-11-20,2711940
2011-11-21,2974049
2011-11-22,5518607
2011-11-23,4715156
